pose: (1.06,-0.71,-1.06)	thetad = -1.06	e = -0.00, az = -0.03

pose: (1.07,-0.71,-1.06)	thetad = -1.07	e = -0.00, az = -0.03

pose: (1.07,-0.72,-1.07)	thetad = -1.07	e = -0.00, az = -0.03

pose: (1.08,-0.73,-1.07)	thetad = -1.07	e = -0.00, az = -0.03

pose: (1.09,-0.73,-1.07)	thetad = -1.08	e = -0.00, az = -0.03

pose: (1.09,-0.74,-1.08)	thetad = -1.08	e = -0.00, az = -0.03

pose: (1.10,-0.75,-1.08)	thetad = -1.09	e = -0.00, az = -0.03

pose: (1.11,-0.75,-1.09)	thetad = -1.09	e = -0.00, az = -0.03

pose: (1.12,-0.76,-1.09)	thetad = -1.09	e = -0.00, az = -0.03

pose: (1.12,-0.76,-1.09)	thetad = -1.10	e = -0.01, az = -0.04

pose: (1.13,-0.77,-1.10)	thetad = -1.10	e = -0.01, az = -0.04

pose: (1.14,-0.78,-1.10)	thetad = -1.11	e = -0.01, az = -0.04

pose: (1.14,-0.78,-1.10)	thetad = -1.11	e = -0.01, az = -0.04

pose: (1.15,-0.79,-1.11)	thetad = -1.12	e = -0.00, az = -0.04

pose: (1.16,-0.79,-1.12)	thetad = -1.12	e = -0.00, az = -0.04

pose: (1.17,-0.80,-1.12)	thetad = -1.13	e = -0.00, az = -0.04

pose: (1.17,-0.81,-1.13)	thetad = -1.13	e = -0.00, az = -0.04

pose: (1.18,-0.82,-1.14)	thetad = -1.14	e = -0.00, az = -0.04

pose: (1.19,-0.82,-1.14)	thetad = -1.14	e = -0.00, az = -0.03

pose: (1.20,-0.83,-1.14)	thetad = -1.15	e = -0.00, az = -0.04

pose: (1.20,-0.83,-1.15)	thetad = -1.15	e = -0.00, az = -0.04

pose: (1.21,-0.84,-1.15)	thetad = -1.16	e = -0.01, az = -0.04

pose: (1.22,-0.85,-1.15)	thetad = -1.16	e = -0.01, az = -0.05

pose: (1.23,-0.86,-1.16)	thetad = -1.17	e = -0.01, az = -0.05

pose: (1.23,-0.86,-1.17)	thetad = -1.17	e = -0.01, az = -0.05

pose: (1.24,-0.87,-1.17)	thetad = -1.18	e = -0.01, az = -0.05

pose: (1.25,-0.87,-1.18)	thetad = -1.18	e = -0.01, az = -0.05

pose: (1.25,-0.88,-1.18)	thetad = -1.19	e = -0.01, az = -0.05

pose: (1.26,-0.89,-1.19)	thetad = -1.20	e = -0.01, az = -0.05

pose: (1.27,-0.90,-1.19)	thetad = -1.20	e = -0.01, az = -0.05

pose: (1.27,-0.90,-1.20)	thetad = -1.21	e = -0.01, az = -0.05

pose: (1.28,-0.91,-1.21)	thetad = -1.22	e = -0.01, az = -0.05

pose: (1.29,-0.92,-1.21)	thetad = -1.22	e = -0.01, az = -0.05

pose: (1.29,-0.92,-1.22)	thetad = -1.23	e = -0.01, az = -0.05

pose: (1.30,-0.93,-1.23)	thetad = -1.24	e = -0.01, az = -0.05

pose: (1.31,-0.94,-1.24)	thetad = -1.24	e = -0.01, az = -0.06

